Copyright (C) 2006-2011
Gaia Data Processing and Analysis Consortium

THIS IS AN AUTOMATICALLY GENERATED FILE - DO NOT EDIT!

The file has been automatically generated from the contents of the
Gaia Parameter Database at the URL
    http://gaia.esac.esa.int/gpdb
Version -live (r.231494)-2012-05-18T04:59:16

Please report any problems arising from the usage of this file to
the Gaia Librarian gaialib@rssd.esa.int

Name,Value,Unit,Basic,Scalar,Description,Source,Expression,LaTeX label,Last modified
NatureMoonU4_EncompassingSphereRadius,7.614e+5,m,false,true,"Radius of the smallest hypothetical sphere around U4 (Oberon) which would encompass the body (this is a low-accuracy parameter used in the relativistic model)","","MoonU4_Radius","R",2008-03-18T15:00:00
NatureMoonU4_MassDensity_Mean,1.559,g cm^-3,false,true,"Mean mass density of U4 (Oberon)","","3 * MoonU4_GM / (4 * Newton_Constant * Pi_Constant * MoonU4_Radius * MoonU4_Radius * MoonU4_Radius * 1000)","\rho",2006-03-01T09:00:00
NatureMoonU4_LightDeflection_Limb,2,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of U4 (Oberon)","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * (1 + PPN_Gamma) * MoonU4_GM / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * MoonU4_Radius * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureNeptune_NorthRotationalPole_RightAscension,299.334,deg,false,true,"IAU-recommended value for the right ascension \alpha_0 of the north pole of rotation of Neptune. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees. The numerical value is based on an approximate formula, accurate to first order in 'd' (see below); the true equation is \alpha_0 = 299.36 + 0.70 * sin(357.85 + 52.316 * d / 36525), where d is the number of Julian days calculated from the standard epoch. The numerical accuracy of this equation is 0.1 deg","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","299.36 + 0.70 * sin(Degree_Radian * 357.85)","\alpha_0",2006-11-20T17:00:00
NatureNeptune_NorthRotationalPole_RightAscensionRateOfChange,0.0000174869,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch) of the right ascension \alpha_0 of the north pole of rotation of Neptune. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees. The numerical value is based on an approximate formula, accurate to first order in 'd' (see below); the true equation is \alpha_0 = 299.36 + 0.70 * sin(357.85 + 52.316 * d / 36525), where d is the number of Julian days calculated from the standard epoch. The numerical accuracy of this equation is 0.1 deg","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","0.70 * cos(Degree_Radian * 357.85) * Degree_Radian * 52.316 / 36525","d\alpha_0/dt",2006-11-20T17:00:00
NatureNeptune_NorthRotationalPole_Declination,42.950,deg,false,true,"IAU-recommended value for the declination \delta_0 of the north pole of rotation of Neptune. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees. The numerical value is based on an approximate formula, accurate to first order in 'd' (see below); the true equation is \delta_0 = 43.46 - 0.51 * cos(357.85 + 52.316 * d / 36525), where d is the number of Julian days calculated from the standard epoch. The numerical accuracy of this equation is 0.1 deg","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","43.46 - 0.51 * cos(Degree_Radian * 357.85)","\delta_0",2006-11-20T17:00:00
NatureNeptune_NorthRotationalPole_DeclinationRateOfChange,-0.0000004783,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch) of the declination \delta_0 of the north pole of rotation of Neptune. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees. The numerical value is based on an approximate formula, accurate to first order in 'd' (see below); the true equation is \delta_0 = 43.46 - 0.51 * cos(357.85 + 52.316 * d / 36525), where d is the number of Julian days calculated from the standard epoch. The numerical accuracy of this equation is 0.1 deg","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","0.51 * sin(Degree_Radian * 357.85) * Degree_Radian * 52.316 / 36525","d\delta_0/dt",2006-11-20T17:00:00
NatureNeptune_PrimeMeridian_EphemerisPosition,253.198,deg,false,true,"IAU-recommended value for the ephemeris position of the prime meridian of Neptune. The prime meridian refers to the rotation of the magnetic field System III. The location of the prime meridian is specified by the angle that is measured along the planet's equator in an easterly direction with respect to the planet's north pole from the node Q (located at right ascension 90 deg + \alpha_0, where \alpha_0 denotes the right ascension of the north pole of rotation) of the planet's equator on the standard equator to the point B where the prime meridian crosses the planet's equator. The right ascension of the point Q is 90 deg + \alpha_0 and the inclination of the planet's equator to the standard equator is 90 deg - \delta_0, where \delta_0 denotes the declination of the north pole of rotation. (The pair (\alpha_0, \delta_0) denotes the standard equatorial coordinates, with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB), of the north pole of rotation, which itself is defined as that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees.) Because the prime meridian is assumed to rotate uniformly with the planet, W accordingly varies linearly with time. In addition, \alpha_0, \delta_0, and W may vary with time due to a precession of the axis of rotation of the planet. If W increases with time, the planet has a direct (or prograde) rotation; if W decreases with time, the rotation is said to be retrograde. The numerical value is based on an approximate formula, accurate to first order in 'd' (see below); the true equation is W = 253.18 + 536.3128492 * d - 0.48 * sin(357.85 + 52.316 * d / 36525), where d is the number of Julian days calculated from the standard epoch. The numerical accuracy of this equation is 0.1 deg","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","253.18 - 0.48 * sin(Degree_Radian * 357.85)","W = W_{III}",2006-11-20T17:00:00
NatureNeptune_PrimeMeridian_EphemerisPositionRateOfChange,536.3128372090,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch of 1.5 January 2000 = JD2451545.0 TDB) of the ephemeris position of the prime meridian of Neptune. The prime meridian refers to the rotation of the magnetic field System III. The location of the prime meridian is specified by the angle that is measured along the planet's equator in an easterly direction with respect to the planet's north pole from the node Q (located at right ascension 90 deg + \alpha_0, where \alpha_0 denotes the right ascension of the north pole of rotation) of the planet's equator on the standard equator to the point B where the prime meridian crosses the planet's equator. The right ascension of the point Q is 90 deg + \alpha_0 and the inclination of the planet's equator to the standard equator is 90 deg - \delta_0, where \delta_0 denotes the declination of the north pole of rotation. (The pair (\alpha_0, \delta_0) denotes the standard equatorial coordinates, with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB), of the north pole of rotation, which itself is defined as that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees.) Because the prime meridian is assumed to rotate uniformly with the planet, W accordingly varies linearly with time. In addition, \alpha_0, \delta_0, and W may vary with time due to a precession of the axis of rotation of the planet. If W increases with time, the planet has a direct (or prograde) rotation; if W decreases with time, the rotation is said to be retrograde. The numerical value is based on an approximate formula, accurate to first order in 'd' (see below); the true equation is W = 253.18 + 536.3128492 * d - 0.48 * sin(357.85 + 52.316 * d / 36525), where d is the number of Julian days calculated from the standard epoch. The numerical accuracy of this equation is 0.1 deg","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","536.3128492 - 0.48 * cos(Degree_Radian * 357.85) * Degree_Radian * 52.316 / 36525","dW/dt",2006-11-20T17:00:00
NatureNeptune_EquatorialRadius,2.4764e+7,m,false,true,"Equatorial radius of Neptune","","Neptune_VolumetricRadius * pow(1 - Neptune_Flattening; -1/3)","a",2010-10-08T15:00:00
NatureNeptune_PolarRadius,2.4341e+7,m,false,true,"Polar radius of Neptune","","Neptune_EquatorialRadius * (1 - Neptune_Flattening)","b",2010-10-08T15:00:00
NatureNeptune_MassDensity_Mean,1.638,g cm^-3,false,true,"Mean mass density of Neptune","","3 * Neptune_Mass / (4 * Pi_Constant * Neptune_VolumetricRadius * Neptune_VolumetricRadius * Neptune_VolumetricRadius * 1000)","\rho",2010-10-08T15:00:00
NatureNeptune_EncompassingSphereRadius,2.4764e+7,m,false,true,"Radius of the smallest hypothetical sphere around Neptune which would encompass the body (this is a low-accuracy parameter used in the relativistic model)","","Neptune_EquatorialRadius","R",2008-03-18T15:00:00
NatureNeptune_LightDeflection_Limb,2548,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of Neptune","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * (1 + PPN_Gamma) * Newton_Constant * Neptune_Mass / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * Neptune_VolumetricRadius * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureNeptune_TransitProbability,0.016,%,false,true,"Geometric transit probability (Neptune transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.1, Equation 2.2, page 14","100 * (Sun_EquatorialRadius + Neptune_VolumetricRadius) / (NeptuneSystem_OrbitalSemiMajorAxis_J2000 * AstronomicalUnit_Meter)","",2006-03-01T09:00:00
NatureNeptune_FluxReduction_Maximum,0.125,%,false,true,"Maximum reduction of the solar flux for an observer external to the solar system during a transit of Neptune","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.2, Equation 2.4, page 14","100 * (Neptune_VolumetricRadius / Sun_EquatorialRadius) * (Neptune_VolumetricRadius / Sun_EquatorialRadius)","",2006-03-01T09:00:00
NatureNeptune_TransitTime_Maximum,3.07,day,false,true,"Maximum transit time of Neptune (transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.3, Equation 2.5, page 15","(NeptuneSystem_OrbitalPeriod * JulianYear_Day / Pi_Constant)* asin((Sun_EquatorialRadius + Neptune_VolumetricRadius) / (NeptuneSystem_OrbitalSemiMajorAxis_J2000 * AstronomicalUnit_Meter))","",2006-03-01T09:00:00
NatureNeptuneSystem_Mass,1.0244e+26,kg,false,true,"Neptune-system mass (IAU 2009 CBE value). The planetary mass includes the contribution of its satellites","","Sun_GM / (SunToNeptuneSystem_MassRatio * Newton_Constant)","M",2010-10-01T14:00:00
NatureNeptuneSystem_RadialVelocitySignature,0.3,m s^-1,false,true,"Radial-velocity amplitude of the Sun induced by the Neptune system for 'an edge-on observer' (i.e., an observer in the orbital plane of the Neptune system)","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 1.4, Equation 1.18, page 9","(2 * Pi_Constant * NeptuneSystem_Mass / (NeptuneSystem_OrbitalPeriod * JulianYear_Day * Day_Second * sqrt(1 - NeptuneSystem_OrbitalEccentricity_J2000 * NeptuneSystem_OrbitalEccentricity_J2000))) * pow(NeptuneSystem_OrbitalPeriod * NeptuneSystem_OrbitalPeriod * JulianYear_Day * Day_Second * JulianYear_Day * Day_Second * Newton_Constant / (4 * Pi_Constant * Pi_Constant * NeptuneSystem_Mass * (1 + INPOP06:SunToNeptuneSystem_MassRatio) * NeptuneSystem_Mass * (1 + INPOP06:SunToNeptuneSystem_MassRatio)); 1/3)","K",2007-08-16T16:00:00
NatureNeptuneSystem_AstrometricSignature_10Parsec,155,10^-6 arcsec,false,true,"Astrometric signature of the Sun induced by the Neptune system for an observer located at a distance of 10 pc from the Sun","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 1.7, Equation 1.22, page 11","1.0E6 * NeptuneSystem_OrbitalSemiMajorAxis_J2000 / (10 * INPOP06:SunToNeptuneSystem_MassRatio)","\alpha",2007-08-16T16:00:00
NatureParsec_Meter,3.085677581305729e+16,m,false,true,"Parsec expressed in m","","AstronomicalUnit_Meter * 180 * 3600 / Pi_Constant","",2006-03-01T09:00:00
NatureParsec_AstronomicalUnit,206264.806247096,AU,false,true,"Parsec expressed in AU","","180 * 3600 / Pi_Constant","",2008-03-18T16:00:00
NaturePluto_VolumetricRadius,1.195e+6,m,false,true,"Mean volumetric radius of Pluto","","Pluto_EquatorialRadius * pow(1 - Pluto_Flattening; 1/3)","R_V",2010-10-08T15:00:00
NaturePluto_PolarRadius,1.195e+6,m,false,true,"Polar radius of Pluto","","Pluto_EquatorialRadius * (1 - Pluto_Flattening)","b",2010-10-08T15:00:00
NaturePluto_MassDensity_Mean,1.83,g cm^-3,false,true,"Mean mass density of Pluto (rough estimate)","","3 * Pluto_Mass / (4 * Pi_Constant * Pluto_EquatorialRadius * Pluto_EquatorialRadius * Pluto_EquatorialRadius * 1000)","\rho",2010-10-08T15:00:00
NaturePluto_EncompassingSphereRadius,1.195e+6,m,false,true,"Radius of the smallest hypothetical sphere around Pluto which would encompass the body (this is a low-accuracy parameter used in the relativistic model)","","Pluto_EquatorialRadius","R",2008-03-18T15:00:00
NaturePluto_LightDeflection_Limb,7,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of Pluto","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * (1 + PPN_Gamma) * Newton_Constant * Pluto_Mass / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * Pluto_EquatorialRadius * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NaturePluto_TransitProbability,0.012,%,false,true,"Geometric transit probability (Pluto transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.1, Equation 2.2, page 14","100 * (Sun_EquatorialRadius + Pluto_EquatorialRadius) / (PlutoSystem_OrbitalSemiMajorAxis_J2000 * AstronomicalUnit_Meter)","",2006-03-01T09:00:00
NaturePluto_FluxReduction_Maximum,0.0003,%,false,true,"Maximum reduction of the solar flux for an observer external to the solar system during a transit of Pluto","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.2, Equation 2.4, page 14","100 * (Pluto_EquatorialRadius / Sun_EquatorialRadius) * (Pluto_EquatorialRadius / Sun_EquatorialRadius)","",2006-03-01T09:00:00
NaturePluto_TransitTime_Maximum,3.40,day,false,true,"Maximum transit time of Pluto (transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.3, Equation 2.5, page 15","(PlutoSystem_OrbitalPeriod * JulianYear_Day / Pi_Constant)* asin((Sun_EquatorialRadius + Pluto_EquatorialRadius) / (PlutoSystem_OrbitalSemiMajorAxis_J2000 * AstronomicalUnit_Meter))","",2006-03-01T09:00:00
NaturePlutoSystem_Mass,1.456e+22,kg,false,true,"Pluto-system mass (IAU 2009 CBE value). The 'planetary' mass includes the contribution of its satellite, Charon","","Sun_GM / (SunToPlutoSystem_MassRatio * Newton_Constant)","M",2010-10-01T14:00:00
NaturePlutoSystem_RadialVelocitySignature,3.6e-5,m s^-1,false,true,"Radial-velocity amplitude of the Sun induced by the Pluto system for 'an edge-on observer' (i.e., an observer in the orbital plane of the Pluto system)","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 1.4, Equation 1.18, page 9","(2 * Pi_Constant * PlutoSystem_Mass / (PlutoSystem_OrbitalPeriod * JulianYear_Day * Day_Second * sqrt(1 - PlutoSystem_OrbitalEccentricity_J2000 * PlutoSystem_OrbitalEccentricity_J2000))) * pow(PlutoSystem_OrbitalPeriod * PlutoSystem_OrbitalPeriod * JulianYear_Day * Day_Second * JulianYear_Day * Day_Second * Newton_Constant / (4 * Pi_Constant * Pi_Constant * PlutoSystem_Mass * (1 + INPOP06:SunToPlutoSystem_MassRatio) * PlutoSystem_Mass * (1 + INPOP06:SunToPlutoSystem_MassRatio)); 1/3)","K",2007-08-16T16:00:00
NaturePlutoSystem_AstrometricSignature_10Parsec,0.029,10^-6 arcsec,false,true,"Astrometric signature of the Sun induced by the Pluto system for an observer located at a distance of 10 pc from the Sun","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 1.7, Equation 1.22, page 11","1.0E6 * PlutoSystem_OrbitalSemiMajorAxis_J2000 / (10 * INPOP06:SunToPlutoSystem_MassRatio)","\alpha",2007-08-16T16:00:00
NaturePrecession_Constant_J2000M,3.075887,s yr^-1,false,true,"Precession constant m = p cos(\epsilon_0), in s per Julian year, at the standard epoch J2000.0, nowadays irrelevant as a fundamental constant. The precession in right ascension \alpha equals m + n sin(\alpha) tan(\delta); the precession in declination \delta equals n cos(\alpha)","","PrecessionLongitude_Constant_J2000 * cos(Pi_Constant * ObliquityOfEcliptic_J2000 / (180 * 3600)) / (15 * 100)","m",2006-03-01T09:00:00
NaturePrecession_Constant_J2000N,20.003394,arcsec yr^-1,false,true,"Precession constant n = p sin(\epsilon_0), in arcsec per Julian year, at the standard epoch J2000.0, nowadays irrelevant as a fundamental constant. The precession in right ascension \alpha equals m + n sin(\alpha) tan(\delta); the precession in declination \delta equals n cos(\alpha)","","PrecessionLongitude_Constant_J2000 * sin(Pi_Constant * ObliquityOfEcliptic_J2000 / (180 * 3600)) / 100","n",2006-03-01T09:00:00
NatureProperMotion_Constant,4.740470463,km yr s^-1,false,true,"Proper-motion conversion constant A_v = 4.74... km yr s^-1 (see ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, page 25, Table 1.2.2)","","AstronomicalUnit_Meter / (JulianYear_Day * Day_Second * 1000)","A_v",2006-03-01T09:00:00
NatureRadian_Degree,5.72957795130823e+1,deg,false,true,"One radian in units of degrees","","180 / Pi_Constant","",2006-11-20T16:00:00
NatureRadian_Arcsecond,2.06264806247096e+5,arcsec,false,true,"One radian in units of arcseconds","","180 * 3600 / Pi_Constant","",2006-11-20T16:00:00
NatureRadian_MilliArcsecond,2.06264806247096e+8,milli-arcsec,false,true,"One radian in units of milli-arcseconds","","180 * 3600 * 1000 / Pi_Constant","",2006-11-20T16:00:00
NatureRadian_MicroArcsecond,2.06264806247096e+11,micro-arcsec,false,true,"One radian in units of micro-arcseconds","","180 * 3600 * 1000000 / Pi_Constant","",2006-11-20T16:00:00
NatureRadiation_Constant_First,3.74177152e-16,W m^2,false,true,"First radiation constant. Note: best-measured value equals 3.74177153E-16 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","2 * Pi_Constant * Planck_Constant * VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum","c_1",2012-02-02T16:00:00
NatureRadiation_Constant_Second,1.4387770e-2,m K,false,true,"Second radiation constant. Note: best-measured value equals 1.4387770E-2 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","Planck_Constant * VelocityOfLight_Constant_Vacuum / Boltzmann_Constant","c_2",2012-02-02T16:00:00
NatureRadiation_Constant,7.565731e-16,J m^-3 K^-4,false,true,"Radiation constant, also known as radiation-density constant, linking the energy density u (= 4 Pi I / c) of black-body radiation and temperature T via u = a T^4","E.g., H. Karttunen, et al., 1987, 'Fundamental Astronomy', Springer Verlag, Berlin, Section 11.2, page 247 or R. Kippenhahn, A. Weigert, 1991, 'Stellar structure and evolution' (corrected 2-nd printing), Springer Verlag, Berlin, Section 3.1, page 16, and Section 5.1.2, page 28","4 * StefanBoltzmann_Constant / VelocityOfLight_Constant_Vacuum","a",2006-03-01T09:00:00
NatureRydberg_Constant,10973731.593929,m^-1,false,true,"Rydberg constant. Note: best-measured value equals 10973731.568539 (P.J. Mohr, B.N. Taylor, D.B. Newell, 22 July 2011, 'The 2010 CODATA Recommended Values of the Fundamental Physical Constants', National Institute of Standards and Technology, Gaithersburg, MD 20899-8401; http://www.codata.org/ and http://physics.nist.gov/constants, Web Version 6.2, retrieved on 18 January 2012)","","FineStructure_Constant * FineStructure_Constant * Electron_Mass * VelocityOfLight_Constant_Vacuum / (2 * Planck_Constant)","R_{\infty}",2012-02-02T16:00:00
NatureSaturn_NorthRotationalPole_RightAscensionRateOfChange,-0.00000099,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch) of the right ascension \alpha_0 of the north pole of rotation of Saturn. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","-0.036/36525","d\alpha_0/dt",2006-11-20T17:00:00
NatureSaturn_NorthRotationalPole_DeclinationRateOfChange,-0.00000011,deg day^-1,false,true,"IAU-recommended value for the rate of change (in degrees per Julian day, calculated from the standard epoch) of the declination \delta_0 of the north pole of rotation of Saturn. The pair (\alpha_0, \delta_0) denotes standard equatorial coordinates with equinox J2000 at epoch J2000 (the standard epoch is 1.5 January 2000 = JD2451545.0 TDB). The north pole is that pole of rotation that lies on the north side of the invariable plane of the solar system; the approximate coordinates of the north pole of the invariable plane are \alpha_0 = 273.85 deg and \delta_0 = 66.99 degrees","B.A. Archinal, et al., 1 February 2011, 'Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2009', Celestial Mechanics and Dynamical Astronomy, 109, 101-135 (2011CeMDA.109..101A)","-0.004/36525","d\delta_0/dt",2006-11-20T17:00:00
NatureSaturn_EquatorialRadius,6.0268e+7,m,false,true,"Equatorial radius of Saturn","","Saturn_VolumetricRadius * pow(1 - Saturn_Flattening; -1/3)","a",2010-10-08T15:00:00
NatureSaturn_PolarRadius,5.4364e+7,m,false,true,"Polar radius of Saturn","","Saturn_EquatorialRadius * (1 - Saturn_Flattening)","b",2010-10-08T15:00:00
NatureSaturn_MassDensity_Mean,0.6871,g cm^-3,false,true,"Mean mass density of Saturn","","3 * Saturn_Mass / (4 * Pi_Constant * Saturn_VolumetricRadius * Saturn_VolumetricRadius * Saturn_VolumetricRadius * 1000)","\rho",2010-10-08T15:00:00
NatureSaturn_EncompassingSphereRadius,6.0268e+7,m,false,true,"Radius of the smallest hypothetical sphere around Saturn which would encompass the body (this is a low-accuracy parameter used in the relativistic model)","","Saturn_EquatorialRadius","R",2008-03-18T15:00:00
NatureSaturn_LightDeflection_Limb,5979,10^-6 arcsec,false,true,"Post-Newtonian deflection angle of a limb-grazing light ray due to the spherically symmetric part of the gravitational field of Saturn","S.A. Klioner, 2003, 'A Practical Relativistic Model for Microarcsecond Astrometry in Space', AJ, 125, 1580, Equation 64 with cot(x) = cos(x) / sin(x) approximated by x^-1; see also J.H.J. de Bruijne, 19 February 2002, 'Gravitational light deflection', GAIA-JdB-001","1.0E6 * 180 * 3600 * 2 * (1 + PPN_Gamma) * Newton_Constant * Saturn_Mass / (VelocityOfLight_Constant_Vacuum * VelocityOfLight_Constant_Vacuum * Saturn_VolumetricRadius * Pi_Constant)","\delta_{\rm pN}",2006-03-01T09:00:00
NatureSaturn_TransitProbability,0.053,%,false,true,"Geometric transit probability (Saturn transiting the Sun) for an observer external to the solar system","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.1, Equation 2.2, page 14","100 * (Sun_EquatorialRadius + Saturn_VolumetricRadius) / (SaturnSystem_OrbitalSemiMajorAxis_J2000 * AstronomicalUnit_Meter)","",2006-03-01T09:00:00
NatureSaturn_FluxReduction_Maximum,0.700,%,false,true,"Maximum reduction of the solar flux for an observer external to the solar system during a transit of Saturn","E.g., A. Johansen, 26 March 2002, 'Detection of planetary transits with the Gaia satellite', GAIA-CUO-106, issue 1.3, Section 2.2, Equation 2.4, page 14","100 * (Saturn_VolumetricRadius / Sun_EquatorialRadius) * (Saturn_VolumetricRadius / Sun_EquatorialRadius)","",2006-03-01T09:00:00
